data;Captacao_Liquida_Poupanca
2001-03-15;108282.22
2001-03-16;-195783.73
2001-03-19;-232916.24
2001-03-20;-26830.38
2001-03-21;-186731.07
2001-03-22;-101122.42
2001-03-23;61227.83
2001-03-26;-252752.83
2001-03-27;-141407.15
2001-03-28;-67316.45
2001-03-29;171672.5
2001-03-30;389567.9
2001-04-02;11102.06
2001-04-03;-53246.03
2001-04-04;-52607.41
2001-04-05;108221.51
2001-04-06;327291.21
2001-04-09;-328540.3
2001-04-10;-18128.51
2001-04-11;-144730.69
2001-04-12;130603.3
2001-04-16;-211637.0
2001-04-17;-283727.97
2001-04-18;-176482.66
2001-04-19;-97558.86
2001-04-20;125125.56
2001-04-23;-199009.72
2001-04-24;-179530.06
2001-04-25;1198.38
2001-04-26;54196.55
2001-04-27;304248.83
2001-04-30;-17188.21
2001-05-02;-38705.1
2001-05-03;69152.42
2001-05-04;184799.02
2001-05-07;138569.87
2001-05-08;-255613.25
2001-05-09;-166750.44
2001-05-10;225707.89
2001-05-11;-184405.16
2001-05-14;-70116.0
2001-05-15;40311.46
2001-05-16;-193880.64
2001-05-17;-86121.6
2001-05-18;47415.15
2001-05-21;-86890.34
2001-05-22;-183099.1
2001-05-23;-146435.79
2001-05-24;-15394.55
2001-05-25;177358.11
2001-05-28;-168969.99
2001-05-29;-102929.5
2001-05-30;334862.6
2001-05-31;723159.34
2001-06-01;96629.28
2001-06-04;49136.34
2001-06-05;59611.29
2001-06-06;322638.37
2001-06-07;-21877.51
2001-06-08;146696.21
2001-06-11;-367922.61
2001-06-12;-196035.85
2001-06-13;70854.03
2001-06-15;-20860.51
2001-06-18;-216912.31
2001-06-19;-239646.03
2001-06-20;57394.31
2001-06-21;-98024.78
2001-06-22;-116366.72
2001-06-25;-20334.37
2001-06-26;-139687.49
2001-06-27;73740.19
2001-06-28;225160.18
2001-06-29;596741.57
2001-07-02;-28733.87
2001-07-03;101478.19
2001-07-04;-207305.7
2001-07-05;342249.45
2001-07-06;227138.51
2001-07-09;-90690.53
2001-07-10;23628.06
2001-07-11;-325694.97
2001-07-12;-99022.62
2001-07-13;185075.22
2001-07-16;13899.36
2001-07-17;-293864.86
2001-07-18;-142314.43
2001-07-19;-52045.63
2001-07-20;31411.91
2001-07-23;-204474.15
2001-07-24;-188892.24
2001-07-25;-40821.44
2001-07-26;-88883.39
2001-07-27;91412.92
2001-07-30;230629.39
2001-07-31;144426.83
2001-08-01;100042.1
2001-08-02;70175.45
2001-08-03;4326.71
2001-08-06;301698.17
2001-08-07;-137714.31
2001-08-08;-249065.31
2001-08-09;-171743.45
2001-08-10;189143.74
2001-08-13;-199258.3
2001-08-14;-7101.96
2001-08-15;188203.62
2001-08-16;-153467.46
2001-08-17;-236141.59
2001-08-20;59552.74
2001-08-21;-213713.17
2001-08-22;-161556.76
2001-08-23;-89713.54
2001-08-24;-17681.04
2001-08-27;-46072.05
2001-08-28;-256706.11
2001-08-29;-53577.88
2001-08-30;317971.95
2001-08-31;259249.12
2001-09-03;-7655.07
2001-09-04;-31485.14
2001-09-05;177602.91
2001-09-06;398055.23
2001-09-10;-48822.82
2001-09-11;-454493.12
2001-09-12;-152803.69
2001-09-13;-47898.1
2001-09-14;-445.44
2001-09-17;36452.84
2001-09-18;-255997.73
2001-09-19;-179280.33
2001-09-20;82137.42
2001-09-21;-208664.61
2001-09-24;-8115.04
2001-09-25;-81463.89
2001-09-26;-43687.69
2001-09-27;204354.03
2001-09-28;316068.02
2001-10-01;165359.44
2001-10-02;-127047.45
2001-10-03;-221983.8
2001-10-04;102192.71
2001-10-05;613401.06
2001-10-08;-292920.78
2001-10-09;-320170.44
2001-10-10;141443.42
2001-10-11;-156477.1
2001-10-15;65975.04
2001-10-16;-293252.86
2001-10-17;-260302.94
2001-10-18;-109591.86
2001-10-19;-63347.21
2001-10-22;-89890.51
2001-10-23;-217165.34
2001-10-24;-138909.11
2001-10-25;63028.41
2001-10-26;95753.55
2001-10-29;16864.08
2001-10-30;341514.95
2001-10-31;427018.2
2001-11-01;205136.67
2001-11-05;91993.75
2001-11-06;-195961.52
2001-11-07;168775.67
2001-11-08;-9478.62
2001-11-09;152272.24
2001-11-12;-233633.16
2001-11-13;-131397.81
2001-11-14;28290.75
2001-11-16;-276557.67
2001-11-19;-158726.57
2001-11-20;31750.85
2001-11-21;-100271.15
2001-11-22;-61985.26
2001-11-23;16303.66
2001-11-26;112332.77
2001-11-27;-199263.9
2001-11-28;-78842.31
2001-11-29;391503.26
2001-11-30;921172.1
2001-12-03;364825.71
2001-12-04;-252051.98
2001-12-05;96173.51
2001-12-06;635940.09
2001-12-07;331241.3
2001-12-10;107935.05
2001-12-11;-239295.0
2001-12-12;-181936.5
2001-12-13;92266.3
2001-12-14;579371.77
2001-12-17;-4517.44
2001-12-18;-137723.58
2001-12-19;27206.61
2001-12-20;1366023.74
2001-12-21;295423.69
2001-12-24;-695490.43
2001-12-26;-235984.14
2001-12-27;-139325.42
2001-12-28;191329.06
2001-12-31;-757990.21
2002-01-02;89818.82
2002-01-03;357632.39
2002-01-04;170673.95
2002-01-07;310568.1
2002-01-08;-236968.48
2002-01-09;-201412.29
2002-01-10;193856.42
2002-01-11;-197876.63
2002-01-14;-227891.16
2002-01-15;-21883.38
2002-01-16;-235124.63
2002-01-17;-263398.14
2002-01-18;12321.96
2002-01-21;-105740.8
2002-01-22;-215238.58
2002-01-23;-775708.79
2002-01-24;-10090.91
2002-01-25;156511.1
2002-01-28;-275254.73
2002-01-29;-268557.68
2002-01-30;234141.57
2002-01-31;570705.76
2002-02-01;255473.64
2002-02-04;-76330.35
2002-02-05;61648.83
2002-02-06;133390.45
2002-02-07;-30854.6
2002-02-08;256721.47
2002-02-13;-501474.83
2002-02-14;-305403.45
2002-02-15;59811.48
2002-02-18;-230835.8
2002-02-19;-297501.55
2002-02-20;-10976.21
2002-02-21;-171106.03
2002-02-22;17706.26
2002-02-25;128503.14
2002-02-26;-78081.46
2002-02-27;197275.8
2002-02-28;449276.6
2002-03-01;355518.18
2002-03-04;-93809.98
2002-03-05;-113151.82
2002-03-06;356240.3
2002-03-07;-6200.58
2002-03-08;161746.28
2002-03-11;-324285.42
2002-03-12;-286925.26
2002-03-13;-278764.36
2002-03-14;-100776.85
2002-03-15;83695.97
2002-03-18;-236759.63
2002-03-19;-283344.91
2002-03-20;3822.99
2002-03-21;-96242.5
2002-03-22;-86392.14
2002-03-25;-12640.56
2002-03-26;-36818.91
2002-03-27;259588.86
2002-03-28;340673.69
2002-04-01;265349.33
2002-04-02;-220536.06
2002-04-03;-266956.89
2002-04-04;133078.15
2002-04-05;660939.1
2002-04-08;-202647.55
2002-04-09;-473816.76
2002-04-10;138515.58
2002-04-11;-256963.89
2002-04-12;-55120.42
2002-04-15;-9703.09
2002-04-16;-231062.35
2002-04-17;-264218.37
2002-04-18;-152338.34
2002-04-19;37687.17
2002-04-22;-119361.81
2002-04-23;-227319.16
2002-04-24;-183080.88
2002-04-25;117968.86
2002-04-26;128767.06
2002-04-29;-2689.36
2002-04-30;209332.9
2002-05-02;222464.35
2002-05-03;130245.0
2002-05-06;-36797.89
2002-05-07;91277.61
2002-05-08;-63370.32
2002-05-09;-226160.06
2002-05-10;289701.59
2002-05-13;-257822.09
2002-05-14;-138993.21
2002-05-15;63499.16
2002-05-16;-138243.24
2002-05-17;-243283.15
2002-05-20;94467.58
2002-05-21;-211165.51
2002-05-22;-213539.45
2002-05-23;-68290.75
2002-05-24;106419.5
2002-05-27;55313.57
2002-05-28;-100960.92
2002-05-29;401556.96
2002-05-31;78954.63
2002-06-03;188832.73
2002-06-04;208446.82
2002-06-05;325301.54
2002-06-06;535872.58
2002-06-07;354079.53
2002-06-10;353516.93
2002-06-11;-276340.55
2002-06-12;-115484.11
2002-06-13;167654.01
2002-06-14;684510.43
2002-06-17;79078.73
2002-06-18;-70774.78
2002-06-19;-85363.87
2002-06-20;339114.55
2002-06-21;137408.65
2002-06-24;21365.0
2002-06-25;146276.54
2002-06-26;106787.96
2002-06-27;546270.61
2002-06-28;777444.18
2002-07-01;430303.91
2002-07-02;323979.84
2002-07-03;-218597.37
2002-07-04;178247.29
2002-07-05;846043.57
2002-07-08;-32815.21
2002-07-09;-177677.03
2002-07-10;229625.89
2002-07-11;-171661.47
2002-07-12;291907.08
2002-07-15;143248.66
2002-07-16;-117294.1
2002-07-17;-204536.27
2002-07-18;-37609.33
2002-07-19;195220.45
2002-07-22;-25163.62
2002-07-23;-99024.49
2002-07-24;-62511.79
2002-07-25;234841.54
2002-07-26;127606.12
2002-07-29;10095.44
2002-07-30;312799.75
2002-07-31;361039.61
2002-08-01;483509.24
2002-08-02;497528.96
2002-08-05;65361.92
2002-08-06;471002.87
2002-08-07;18733.05
2002-08-08;-98619.53
2002-08-09;388763.26
2002-08-12;-153156.71
2002-08-13;48542.67
2002-08-14;84571.56
2002-08-15;296278.67
2002-08-16;78793.95
2002-08-19;-209589.11
2002-08-20;61627.39
2002-08-21;-139013.73
2002-08-22;-65251.02
2002-08-23;199612.77
2002-08-26;-33418.4
2002-08-27;-125272.77
2002-08-28;-51362.49
2002-08-29;155991.03
2002-08-30;599157.34
2002-09-02;330878.61
2002-09-03;77041.89
2002-09-04;-103471.57
2002-09-05;182694.7
2002-09-06;556000.65
2002-09-09;-203434.2
2002-09-10;218092.85
2002-09-11;-244516.96
2002-09-12;-96123.18
2002-09-13;149976.4
2002-09-16;-100596.06
2002-09-17;-186887.45
2002-09-18;-356766.02
2002-09-19;-151883.88
2002-09-20;164480.27
2002-09-23;-142605.83
2002-09-24;-165004.81
2002-09-25;67858.87
2002-09-26;171875.63
2002-09-27;480051.38
2002-09-30;160666.74
2002-10-01;402479.24
2002-10-02;80947.72
2002-10-03;-108474.87
2002-10-04;585398.22
2002-10-07;81203.13
2002-10-08;-415713.39
2002-10-09;-317629.2
2002-10-10;384680.17
2002-10-11;-160980.18
2002-10-14;-158016.97
2002-10-15;64365.73
2002-10-16;-239612.27
2002-10-17;-204550.71
2002-10-18;-14356.53
2002-10-21;-169936.12
2002-10-22;-216478.32
2002-10-23;-171120.26
2002-10-24;-106564.95
2002-10-25;195392.79
2002-10-28;-226934.72
2002-10-29;-150069.91
2002-10-30;211827.17
2002-10-31;315582.14
2002-11-01;314636.48
2002-11-04;-42289.43
2002-11-05;-61241.35
2002-11-06;-9211.59
2002-11-07;304436.63
2002-11-08;-169402.27
2002-11-11;-318082.04
2002-11-12;110878.37
2002-11-13;-431438.9
2002-11-14;250675.25
2002-11-18;-272480.19
2002-11-19;-406989.9
2002-11-20;7829.35
2002-11-21;-241167.36
2002-11-22;-106755.76
2002-11-25;100057.59
2002-11-26;-295782.81
2002-11-27;-60392.48
2002-11-28;111628.05
2002-11-29;1137953.61
2002-12-02;421417.14
2002-12-03;95715.6
2002-12-04;-281154.31
2002-12-05;232447.39
2002-12-06;649577.95
2002-12-09;-260679.08
2002-12-10;-185781.18
2002-12-11;-294412.63
2002-12-12;366331.56
2002-12-13;392866.32
2002-12-16;-65171.81
2002-12-17;-446204.94
2002-12-18;-245384.94
2002-12-19;73897.32
2002-12-20;1685434.39
2002-12-23;-421743.62
2002-12-24;-684725.94
2002-12-26;-465342.41
2002-12-27;-382578.68
2002-12-30;57072.44
2002-12-31;-574801.43
2003-01-02;158765.99
2003-01-03;616052.73
2003-01-06;-207935.26
2003-01-07;171948.83
2003-01-08;-38871.57
2003-01-09;-214215.97
2003-01-10;-60822.69
2003-01-13;-265725.38
2003-01-14;-300596.0
2003-01-15;86511.16
2003-01-16;-234633.78
2003-01-17;-250882.58
2003-01-20;91693.94
2003-01-21;-163498.67
2003-01-22;-420902.65
2003-01-23;-230561.25
2003-01-24;85938.26
2003-01-27;-187447.45
2003-01-28;-294018.07
2003-01-29;-156789.14
2003-01-30;305075.93
2003-01-31;505153.04
2003-02-03;40645.68
2003-02-04;-19619.19
2003-02-05;-191267.87
2003-02-06;442804.88
2003-02-07;-41962.06
2003-02-10;-332380.23
2003-02-11;-345478.18
2003-02-12;-349860.42
2003-02-13;-160674.27
2003-02-14;674892.57
2003-02-17;-470100.15
2003-02-18;-378280.95
2003-02-19;-286296.46
2003-02-20;-37741.49
2003-02-21;-152998.79
2003-02-24;-295570.88
2003-02-25;63817.51
2003-02-26;-86325.15
2003-02-27;333690.28
2003-02-28;424499.63
2003-03-05;354019.59
2003-03-06;-70678.86
2003-03-07;67212.06
2003-03-10;-400671.72
2003-03-11;-387826.96
2003-03-12;-372226.19
2003-03-13;-213621.17
2003-03-14;609792.42
2003-03-17;-478242.1
2003-03-18;-384600.01
2003-03-19;-338088.69
2003-03-20;24418.05
2003-03-21;-163584.17
2003-03-24;-220938.62
2003-03-25;-66708.62
2003-03-26;-235700.16
2003-03-27;63670.38
2003-03-28;269662.6
2003-03-31;21272.2
2003-04-01;272141.91
2003-04-02;18006.36
2003-04-03;-220416.42
2003-04-04;566315.9
2003-04-07;-100729.47
2003-04-08;-384457.1
2003-04-09;-387987.72
2003-04-10;-90014.75
2003-04-11;-172142.39
2003-04-14;66025.95
2003-04-15;-165552.68
2003-04-16;-572562.29
2003-04-17;230885.24
2003-04-22;-442794.85
2003-04-23;-371521.59
2003-04-24;-343724.78
2003-04-25;184067.2
2003-04-28;-203115.45
2003-04-29;-94542.73
2003-04-30;405364.78
2003-05-02;200439.6
2003-05-05;63188.1
2003-05-06;-204647.06
2003-05-07;185670.33
2003-05-08;11875.49
2003-05-09;-196716.53
2003-05-12;-284739.62
2003-05-13;-314814.91
2003-05-14;-236571.18
2003-05-15;560935.06
2003-05-16;-291393.1
2003-05-19;-433631.62
2003-05-20;-50432.55
2003-05-21;-245573.73
2003-05-22;-185489.07
2003-05-23;42639.64
2003-05-26;-247611.56
2003-05-27;-122469.43
2003-05-28;-145909.49
2003-05-29;126969.93
2003-05-30;539569.85
2003-06-02;172870.27
2003-06-03;-46166.38
2003-06-04;-201637.34
2003-06-05;219258.47
2003-06-06;511243.58
2003-06-09;-372327.73
2003-06-10;-176753.48
2003-06-11;-378402.19
2003-06-12;-158754.48
2003-06-13;647824.34
2003-06-16;-336639.16
2003-06-17;-436387.44
2003-06-18;-312498.66
2003-06-20;-119563.52
2003-06-23;-385718.2
2003-06-24;-221269.65
2003-06-25;-52295.07
2003-06-26;48718.95
2003-06-27;434215.6
2003-06-30;149372.36
2003-07-01;473847.59
2003-07-02;29461.09
2003-07-03;-139650.52
2003-07-04;771332.94
2003-07-07;-105725.59
2003-07-08;-322871.55
2003-07-09;-230159.22
2003-07-10;-122465.25
2003-07-11;-121618.77
2003-07-14;-222789.18
2003-07-15;568122.13
2003-07-16;-411616.68
2003-07-17;-372009.54
2003-07-18;-3745.99
2003-07-21;-227325.39
2003-07-22;-209883.77
2003-07-23;-299358.01
2003-07-24;-149768.54
2003-07-25;86789.28
2003-07-28;-889.9
2003-07-29;-131098.36
2003-07-30;199544.55
2003-07-31;439087.05
2003-08-01;320727.44
2003-08-04;-31532.75
2003-08-05;10600.45
2003-08-06;236434.83
2003-08-07;117883.12
2003-08-08;-158465.89
2003-08-11;-286454.12
2003-08-12;-237305.86
2003-08-13;-303363.31
2003-08-14;362824.8
2003-08-15;54631.76
2003-08-18;-335854.08
2003-08-19;-392842.9
2003-08-20;-32094.41
2003-08-21;-164713.58
2003-08-22;-157960.4
2003-08-25;-30291.23
2003-08-26;-173101.77
2003-08-27;-30075.74
2003-08-28;105176.44
2003-08-29;661563.26
2003-09-01;295747.05
2003-09-02;-22057.52
2003-09-03;-218303.2
2003-09-04;-137410.02
2003-09-05;936822.83
2003-09-08;-301055.74
2003-09-09;-406505.69
2003-09-10;-169388.02
2003-09-11;-213612.32
2003-09-12;-50948.37
2003-09-15;441427.99
2003-09-16;-439558.76
2003-09-17;-419017.62
2003-09-18;-213717.09
2003-09-19;29973.88
2003-09-22;-194057.32
2003-09-23;-241794.54
2003-09-24;-263923.74
2003-09-25;-624.8
2003-09-26;184713.81
2003-09-29;-130657.87
2003-09-30;492265.39
2003-10-01;313486.22
2003-10-02;46388.51
2003-10-03;106751.16
2003-10-06;318510.69
2003-10-07;-66339.92
2003-10-08;-401762.12
2003-10-09;-167327.86
2003-10-10;-110213.88
2003-10-13;-247473.25
2003-10-14;-128365.27
2003-10-15;480451.28
2003-10-16;-356801.09
2003-10-17;-32754.3
2003-10-20;-120091.35
2003-10-21;-322849.34
2003-10-22;-307967.97
2003-10-23;-179722.94
2003-10-24;144971.59
2003-10-27;-206700.09
2003-10-28;-321305.66
2003-10-29;-190446.84
2003-10-30;322588.61
2003-10-31;535605.53
2003-11-03;54728.3
2003-11-04;28629.96
2003-11-05;69703.37
2003-11-06;562139.46
2003-11-07;-8949.38
2003-11-10;-318421.79
2003-11-11;-315279.28
2003-11-12;-242551.67
2003-11-13;-183351.24
2003-11-14;827533.35
2003-11-17;-367198.79
2003-11-18;-419006.68
2003-11-19;-307000.78
2003-11-20;164690.06
2003-11-21;-95172.36
2003-11-24;-254368.43
2003-11-25;192911.27
2003-11-26;-40477.44
2003-11-27;309486.32
2003-11-28;1269016.4
2003-12-01;593187.97
2003-12-02;228028.33
2003-12-03;-195820.0
2003-12-04;41172.48
2003-12-05;954597.63
2003-12-08;-91634.34
2003-12-09;-313712.48
2003-12-10;-23200.73
2003-12-11;89757.84
2003-12-12;179870.42
2003-12-15;804656.31
2003-12-16;-464231.5
2003-12-17;-190535.36
2003-12-18;383207.71
2003-12-19;1716731.28
2003-12-22;-18247.35
2003-12-23;-382417.81
2003-12-24;-627971.11
2003-12-26;-283293.93
2003-12-29;-356891.68
2003-12-30;278850.93
2003-12-31;-412828.75
2004-01-02;149059.34
2004-01-05;883348.11
2004-01-06;-608180.89
2004-01-07;173401.01
2004-01-08;230856.68
2004-01-09;409907.39
2004-01-12;-485735.08
2004-01-13;-338224.93
2004-01-14;-287575.36
2004-01-15;139373.46
2004-01-16;-180340.5
2004-01-19;-486300.54
2004-01-20;-30463.81
2004-01-21;-349186.94
2004-01-22;-190107.13
2004-01-23;37081.67
2004-01-26;-248101.93
2004-01-27;-196852.63
2004-01-28;-235688.62
2004-01-29;177505.69
2004-01-30;797081.95
2004-02-02;233505.03
2004-02-03;-66189.34
2004-02-04;-146843.68
2004-02-05;113545.65
2004-02-06;624502.3
2004-02-09;-519832.68
2004-02-10;148027.56
2004-02-11;-430711.91
2004-02-12;-236697.48
2004-02-13;267699.38
2004-02-16;-378528.35
2004-02-17;-441068.73
2004-02-18;-416962.41
2004-02-19;-183480.62
2004-02-20;720143.69
2004-02-25;-247826.76
2004-02-26;-50535.21
2004-02-27;665313.42
2004-03-01;242921.04
2004-03-02;-245750.43
2004-03-03;-275220.19
2004-03-04;71338.48
2004-03-05;870018.54
2004-03-08;-261879.2
2004-03-09;-476844.01
2004-03-10;258314.32
2004-03-11;-256429.37
2004-03-12;-146723.08
2004-03-15;-50860.48
2004-03-16;-336002.41
2004-03-17;-418702.74
2004-03-18;-219716.83
2004-03-19;60381.02
2004-03-22;-222867.0
2004-03-23;-270887.89
2004-03-24;-206538.92
2004-03-25;101404.07
2004-03-26;56791.6
2004-03-29;-223142.57
2004-03-30;272220.28
2004-03-31;446655.11
2004-04-01;532017.09
2004-04-02;298606.26
2004-04-05;36376.31
2004-04-06;514806.32
2004-04-07;12062.81
2004-04-08;194666.47
2004-04-12;-690473.38
2004-04-13;-446187.98
2004-04-14;-352727.3
2004-04-15;134076.24
2004-04-16;-99966.32
2004-04-19;-481038.61
2004-04-20;52697.51
2004-04-22;-310397.16
2004-04-23;-71600.82
2004-04-26;-285321.9
2004-04-27;-115739.32
2004-04-28;-162104.97
2004-04-29;138427.0
2004-04-30;617084.26
2004-05-03;431190.07
2004-05-04;112287.23
2004-05-05;220507.57
2004-05-06;69673.97
2004-05-07;686500.44
2004-05-10;105782.57
2004-05-11;-592332.9
2004-05-12;-349294.9
2004-05-13;-208465.87
2004-05-14;196809.21
2004-05-17;-313462.69
2004-05-18;-336116.13
2004-05-19;-236321.38
2004-05-20;500142.44
2004-05-21;154145.3
2004-05-24;-170326.8
2004-05-25;181399.42
2004-05-26;-91153.83
2004-05-27;161610.81
2004-05-28;483661.9
2004-05-31;317233.96
2004-06-01;545608.43
